iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_imputation__params,param_feature_selection__threshold,param_feature_selection__strategy,param_feature_extraction__params,param_feature_extraction__n_lags,param_classifier__base_estimator__n_estimators,param_classifier__base_estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,57,0.05771174430847168,0.06445488727485975,0.006228113174438476,0.012456226348876952,"('interpolate', ('polynomial', 2))",0.95,pca,"('pycatch22', {})",3,100,7,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.022052192687988283,0.007986067208920197,0.0,0.0,"('interpolate', ('polynomial', 2))",0.85,pca,"('pycatch22', {})",5,25,3,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.018957996368408205,0.0044452052439295535,0.0,0.0,"('ffill', None)",0.85,pca,"('pycatch22', {})",8,50,7,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.05657801628112793,0.06760079747277144,0.004038000106811523,0.008076000213623044,"('interpolate', ('polynomial', 2))",0.9,pca,"('pycatch22', {})",3,100,5,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.07672514915466308,0.07040215152813208,0.0042075634002685545,0.008415126800537109,"('interpolate', ('spline', 3))",0.85,pca,"('pycatch22', {})",3,50,5,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.03546099662780762,0.007526030492234947,0.0,0.0,"('interpolate', ('polynomial', 2))",0.85,correlation,"('pycatch22', {})",5,25,5,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.030776596069335936,0.009345697359585974,0.0,0.0,"('interpolate', ('polynomial', 3))",0.85,pca,"('pycatch22', {})",8,50,5,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.03460288047790527,0.010601273443595332,0.0,0.0,"('interpolate', 'linear')",0.85,correlation,"('pycatch22', {})",5,25,7,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.07717337608337402,0.07740065386179548,0.005634784698486328,0.011269569396972656,"('ffill', None)",0.9,correlation,"('pycatch22', {})",3,50,3,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.022782087326049805,0.005844434314837057,0.0,0.0,"('interpolate', ('polynomial', 3))",0.85,pca,"('pycatch22', {})",5,100,7,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
