feature,importance
TPressThickSample1,57
TPressProdReportFCCPVM_DN_HistogramMode_5,44
QProd_FC_LocalSimple_mean3_stderr,43
TPressProdReportHardSrel_DN_HistogramMode_10,43
TPressParameterCode_26.0,40
TPressProdReportHardSrel_DN_HistogramMode_5,36
QProd,35
TPressProdReportHardSrel_CO_Embed2_Dist_tau_d_expfit_meandiff,35
TPressProdReportFCCPVM_CO_Embed2_Dist_tau_d_expfit_meandiff,35
TPressParameterCode_29.0,34
TPressWeightSample18_DN_HistogramMode_10,32
TPressWeightSample18_FC_LocalSimple_mean3_stderr,32
TPressWeightSample18_DN_HistogramMode_5,32
QProd_CO_f1ecac,32
TPressProdReportHardSrel_CO_trev_1_num,30
TPressProdReportHardSrel,28
QProd_CO_trev_1_num,27
TPressProdReportFCSrel,27
TPressParameterCode_14.0,27
TPressProdReportFCCPVM_CO_f1ecac,27
TPressProdReportFCCPVM_FC_LocalSimple_mean3_stderr,27
TPressProdReportThickSrel,26
TPressProdReportHardSrel_CO_f1ecac,25
TPressParameterCode_15.0,24
TPressProdReportHardSrel_FC_LocalSimple_mean3_stderr,23
TPressProdReportFCCPVM_CO_trev_1_num,23
TPressParameterCode_92.0,23
TPressProdReportFCCPVM_DN_HistogramMode_10,22
TPressWeightSample18_CO_trev_1_num,20
TPressParameterCode_45.0,20
TPressParameterCode_24.0_DN_HistogramMode_5,19
QProd_DN_HistogramMode_10,19
TPressParameterCode_46.0,19
TPressHardSample1,18
TPressParameterCode_27.0,18
TPressProdReportFCPCVM,18
TPressProdReportFCCPVM,17
TPressWeightSample11,16
TPressParameterCode_19.0,15
TPressProdReportFCCPVM_SP_Summaries_welch_rect_area_5_1,15
TPressParameterCode_45.0_DN_HistogramMode_5,15
TPressParameterCode_8.0,14
QProd_DN_HistogramMode_5,14
TPressParameterCode_45.0_FC_LocalSimple_mean3_stderr,13
QProd_SP_Summaries_welch_rect_area_5_1,13
TPressProdReportHardSrel_DN_OutlierInclude_n_001_mdrmd,12
TPressWeightSample18_CO_Embed2_Dist_tau_d_expfit_meandiff,12
QProd_CO_Embed2_Dist_tau_d_expfit_meandiff,12
TPressParameterCode_15.0_DN_HistogramMode_5,12
TPressParameterCode_13.0_DN_HistogramMode_5,12
TPressWeightSample18_CO_f1ecac,12
TPressParameterCode_6.0,12
TPressParameterCode_27.0_DN_HistogramMode_5,12
TPressWeightSample18_SP_Summaries_welch_rect_area_5_1,11
TPressParameterCode_45.0_CO_trev_1_num,11
TPressParameterCode_24.0,11
TPressProdReportHardSrel_MD_hrv_classic_pnn40,10
TPressParameterCode_18.0,10
TPressWeightSample18_DN_OutlierInclude_n_001_mdrmd,10
TPressParameterCode_101.0,9
TPressParameterCode_30.0,9
TPressParameterCode_13.0_CO_Embed2_Dist_tau_d_expfit_meandiff,8
TPressParameterCode_23.0,8
TPressParameterCode_15.0_CO_Embed2_Dist_tau_d_expfit_meandiff,8
TPressSetupCode_101,7
TPressParameterCode_45.0_MD_hrv_classic_pnn40,7
TPressProdReportFCCPVM_SB_TransitionMatrix_3ac_sumdiagcov,6
TPressProdReportHardSrel_SP_Summaries_welch_rect_centroid,6
TPressParameterCode_24.0_SB_BinaryStats_mean_longstretch1,6
TPressProdReportHardSrel_SP_Summaries_welch_rect_area_5_1,6
TPressParameterCode_45.0_CO_Embed2_Dist_tau_d_expfit_meandiff,6
TPressParameterCode_13.0_MD_hrv_classic_pnn40,6
TPressParameterCode_27.0_DN_OutlierInclude_n_001_mdrmd,6
TPressWeightSample18_MD_hrv_classic_pnn40,6
QProd_DN_OutlierInclude_p_001_mdrmd,6
TPressProdReportFCCPVM_CO_HistogramAMI_even_2_5,6
TPressSetupCode_79,5
TPressSetupCode_123,5
TPressParameterCode_45.0_DN_OutlierInclude_n_001_mdrmd,5
TPressParameterCode_15.0_DN_OutlierInclude_n_001_mdrmd,5
TPressParameterCode_1.0,5
TPressProdReportHardSrel_SB_TransitionMatrix_3ac_sumdiagcov,5
TPressProdReportHardSrel_DN_OutlierInclude_p_001_mdrmd,5
TPressParameterCode_24.0_CO_f1ecac,5
TPressParameterCode_15.0_CO_trev_1_num,5
QProd_SB_TransitionMatrix_3ac_sumdiagcov,5
TPressParameterCode_13.0_CO_trev_1_num,5
TPressWeightSample18_SB_BinaryStats_diff_longstretch0,5
TPressProdReportHardSrel_CO_HistogramAMI_even_2_5,4
TPressWeightSample18_SB_BinaryStats_mean_longstretch1,4
TPressParameterCode_24.0_CO_trev_1_num,4
TPressParameterCode_24.0_DN_OutlierInclude_p_001_mdrmd,4
TPressProdReportFCCPVM_SB_BinaryStats_mean_longstretch1,4
TPressProdReportFCCPVM_DN_OutlierInclude_n_001_mdrmd,4
TPressParameterCode_27.0_DN_OutlierInclude_p_001_mdrmd,4
TPressSetupCode_26,4
QProd_FC_LocalSimple_mean1_tauresrat,4
QProd_IN_AutoMutualInfoStats_40_gaussian_fmmi,4
TPressProdReportFCCPVM_SB_BinaryStats_diff_longstretch0,3
TPressWeightSample18_SB_TransitionMatrix_3ac_sumdiagcov,3
TPressSetupCode_32,3
TPressParameterCode_13.0_CO_f1ecac,3
TPressParameterCode_27.0_CO_f1ecac,3
TPressParameterCode_45.0_SP_Summaries_welch_rect_area_5_1,3
TPressParameterCode_29.0_DN_HistogramMode_5,3
TPressParameterCode_27.0_CO_trev_1_num,3
TPressParameterCode_27.0_FC_LocalSimple_mean3_stderr,3
TPressParameterCode_45.0_FC_LocalSimple_mean1_tauresrat,3
TPressParameterCode_27.0_SB_BinaryStats_mean_longstretch1,3
TPressProdReportFCCPVM_DN_OutlierInclude_p_001_mdrmd,3
TPressProdReportFCCPVM_MD_hrv_classic_pnn40,3
TPressParameterCode_45.0_SB_TransitionMatrix_3ac_sumdiagcov,3
TPressParameterCode_29.0_CO_Embed2_Dist_tau_d_expfit_meandiff,3
TPressSetupCode_4,3
TPressWeightSample18_DN_OutlierInclude_p_001_mdrmd,3
TPressProdReportHardSrel_IN_AutoMutualInfoStats_40_gaussian_fmmi,2
QProd_SB_BinaryStats_mean_longstretch1,2
TPressSetupCode_13,2
TPressSetupCode_104,2
TPressProdReportHardSrel_SB_MotifThree_quantile_hh,2
TPressProdReportFCCPVM_SB_MotifThree_quantile_hh,2
TPressWeightSample18_SP_Summaries_welch_rect_centroid,2
QProd_CO_HistogramAMI_even_2_5,2
TPressParameterCode_15.0_DN_OutlierInclude_p_001_mdrmd,2
TPressSetupCode_124,2
TPressParameterCode_15.0_SB_BinaryStats_mean_longstretch1,2
TPressSetupCode_27,2
TPressParameterCode_24.0_SB_TransitionMatrix_3ac_sumdiagcov,2
TPressParameterCode_24.0_DN_OutlierInclude_n_001_mdrmd,2
TPressProdReportHardSrel_FC_LocalSimple_mean1_tauresrat,2
TPressSetupCode_46,2
TPressParameterCode_3.0,2
TPressParameterCode_27.0_CO_FirstMin_ac,2
TPressParameterCode_29.0_DN_OutlierInclude_p_001_mdrmd,2
TPressParameterCode_13.0_DN_OutlierInclude_n_001_mdrmd,2
TPressWeightSample18_FC_LocalSimple_mean1_tauresrat,2
TPressParameterCode_45.0_DN_OutlierInclude_p_001_mdrmd,2
TPressSetupCode_48,2
TPressParameterCode_29.0_SB_TransitionMatrix_3ac_sumdiagcov,2
TPressParameterCode_13.0_SB_BinaryStats_mean_longstretch1,2
TPressParameterCode_15.0_FC_LocalSimple_mean3_stderr,2
QProd_DN_OutlierInclude_n_001_mdrmd,2
TPressSetupCode_9,2
TPressSetupCode_105,2
TPressParameterCode_13.0_FC_LocalSimple_mean3_stderr,1
QProd_CO_FirstMin_ac,1
TPressParameterCode_15.0_MD_hrv_classic_pnn40,1
TPressParameterCode_13.0_SB_TransitionMatrix_3ac_sumdiagcov,1
TPressParameterCode_24.0_SB_MotifThree_quantile_hh,1
TPressParameterCode_13.0_CO_FirstMin_ac,1
TPressParameterCode_13.0_CO_HistogramAMI_even_2_5,1
TPressWeightSample18_SB_MotifThree_quantile_hh,1
QProd_SB_MotifThree_quantile_hh,1
TPressParameterCode_24.0_FC_LocalSimple_mean3_stderr,1
TPressParameterCode_24.0_FC_LocalSimple_mean1_tauresrat,1
TPressProdReportHardSrel_SB_BinaryStats_mean_longstretch1,1
TPressParameterCode_27.0_FC_LocalSimple_mean1_tauresrat,1
TPressSetupCode_108,1
TPressParameterCode_45.0_SB_BinaryStats_mean_longstretch1,1
TPressWeightSample18_CO_HistogramAMI_even_2_5,1
TPressSetupCode_47,1
TPressProdReportHardSrel_CO_FirstMin_ac,1
TPressSetupCode_45,1
Object,1
TPressProdReportFCCPVM_CO_FirstMin_ac,1
TPressParameterCode_24.0_CO_FirstMin_ac,1
TPressParameterCode_24.0_MD_hrv_classic_pnn40,1
TPressProdReportHardSrel_SB_BinaryStats_diff_longstretch0,1
TPressSetupCode_30,1
TPressSetupCode_29,1
QProd_SB_BinaryStats_diff_longstretch0,0
QProd_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressParameterCode_27.0_SB_BinaryStats_diff_longstretch0,0
QProd_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_27.0_SB_MotifThree_quantile_hh,0
TPressParameterCode_27.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressParameterCode_29.0_CO_f1ecac,0
TPressParameterCode_27.0_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_29.0_CO_trev_1_num,0
TPressParameterCode_29.0_SB_BinaryStats_mean_longstretch1,0
TPressParameterCode_29.0_CO_HistogramAMI_even_2_5,0
TPressParameterCode_29.0_CO_FirstMin_ac,0
QProd_SP_Summaries_welch_rect_centroid,0
TPressParameterCode_29.0_MD_hrv_classic_pnn40,0
TPressWeightSample18_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressParameterCode_29.0_PD_PeriodicityWang_th0_01,0
TPressParameterCode_29.0_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressWeightSample18_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_45.0_CO_HistogramAMI_even_2_5,0
TPressWeightSample18_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressParameterCode_45.0_PD_PeriodicityWang_th0_01,0
TPressWeightSample18_PD_PeriodicityWang_th0_01,0
TPressParameterCode_45.0_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressProdReportDiamVM,0
TPressWeightSample18_CO_FirstMin_ac,0
TPressProdReportDiamSrel,0
TPressParameterCode_15.0_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_45.0_SB_BinaryStats_diff_longstretch0,0
TPressParameterCode_15.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressParameterCode_45.0_SB_MotifThree_quantile_hh,0
TPressParameterCode_45.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressParameterCode_45.0_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_45.0_SP_Summaries_welch_rect_centroid,0
TPressParameterCode_15.0_SB_BinaryStats_diff_longstretch0,0
TPressParameterCode_15.0_SP_Summaries_welch_rect_area_5_1,0
TPressParameterCode_15.0_FC_LocalSimple_mean1_tauresrat,0
TPressParameterCode_15.0_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressParameterCode_15.0_PD_PeriodicityWang_th0_01,0
QProd_PD_PeriodicityWang_th0_01,0
TPressParameterCode_15.0_CO_HistogramAMI_even_2_5,0
TPressParameterCode_29.0_FC_LocalSimple_mean3_stderr,0
TPressParameterCode_29.0_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_29.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressParameterCode_29.0_SB_BinaryStats_diff_longstretch0,0
TPressParameterCode_29.0_SP_Summaries_welch_rect_area_5_1,0
