feature,importance
QProd,46
TPressThickSample1,41
TPressProdReportFCSrel,30
TPressParameterCode_14.0,24
TPressProdReportFCPCVM,22
TPressProdReportThickSrel,21
TPressParameterCode_26.0,19
TPressProdReportHardSrel_DN_HistogramMode_5,19
TPressProdReportFCCPVM_CO_f1ecac,18
TPressWeightSample11,17
QProd_DN_HistogramMode_10,17
TPressProdReportHardSrel_CO_f1ecac,16
TPressProdReportFCCPVM_CO_trev_1_num,16
QProd_CO_trev_1_num,15
TPressProdReportHardSrel_CO_trev_1_num,14
QProd_CO_f1ecac,14
TPressParameterCode_92.0,14
TPressWeightSample18_DN_HistogramMode_5,13
QProd_DN_HistogramMode_5,12
TPressParameterCode_15.0,12
TPressParameterCode_27.0,11
TPressProdReportFCCPVM,11
TPressParameterCode_45.0_MD_hrv_classic_pnn40,11
QProd_DN_OutlierInclude_p_001_mdrmd,10
TPressProdReportFCCPVM_DN_HistogramMode_5,9
TPressParameterCode_46.0,9
TPressWeightSample18_CO_trev_1_num,9
TPressParameterCode_6.0,9
TPressParameterCode_27.0_DN_HistogramMode_5,9
TPressProdReportHardSrel_DN_HistogramMode_10,9
TPressParameterCode_8.0,9
TPressProdReportFCCPVM_CO_Embed2_Dist_tau_d_expfit_meandiff,8
TPressParameterCode_30.0,8
TPressHardSample1,8
TPressParameterCode_23.0,8
TPressParameterCode_29.0,8
QProd_CO_Embed2_Dist_tau_d_expfit_meandiff,7
TPressParameterCode_13.0_DN_HistogramMode_5,7
TPressProdReportFCCPVM_SB_TransitionMatrix_3ac_sumdiagcov,7
TPressParameterCode_24.0,6
TPressSetupCode_13,6
TPressProdReportHardSrel_SB_TransitionMatrix_3ac_sumdiagcov,6
TPressParameterCode_19.0,6
TPressParameterCode_45.0_CO_trev_1_num,6
TPressProdReportHardSrel_CO_Embed2_Dist_tau_d_expfit_meandiff,6
TPressParameterCode_45.0_SB_TransitionMatrix_3ac_sumdiagcov,6
TPressParameterCode_50.0,5
TPressParameterCode_45.0_DN_HistogramMode_5,5
TPressProdReportHardSrel,5
TPressParameterCode_101.0,5
TPressParameterCode_18.0,5
TPressSetupCode_26,5
TPressParameterCode_24.0_DN_HistogramMode_5,4
TPressProdReportFCCPVM_DN_OutlierInclude_n_001_mdrmd,4
TPressParameterCode_29.0_CO_f1ecac,4
TPressParameterCode_1.0,3
TPressParameterCode_13.0_CO_f1ecac,3
TPressParameterCode_45.0_CO_f1ecac,3
TPressParameterCode_45.0,3
TPressParameterCode_24.0_SB_TransitionMatrix_3ac_sumdiagcov,3
TPressWeightSample18_SB_TransitionMatrix_3ac_sumdiagcov,3
TPressSetupCode_101,3
TPressParameterCode_13.0_MD_hrv_classic_pnn40,3
TPressSetupCode_8,3
TPressParameterCode_24.0_CO_f1ecac,3
TPressWeightSample18_DN_OutlierInclude_p_001_mdrmd,3
TPressWeightSample18_CO_Embed2_Dist_tau_d_expfit_meandiff,3
TPressSetupCode_10,3
TPressParameterCode_15.0_DN_OutlierInclude_n_001_mdrmd,2
TPressSetupCode_48,2
TPressParameterCode_27.0_CO_trev_1_num,2
QProd_DN_OutlierInclude_n_001_mdrmd,2
TPressWeightSample18_CO_f1ecac,2
TPressProdReportFCCPVM_DN_OutlierInclude_p_001_mdrmd,2
TPressSetupCode_32,2
TPressProdReportFCCPVM_FC_LocalSimple_mean1_tauresrat,2
