mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_imputation__params,param_feature_selection__threshold,param_feature_selection__strategy,param_feature_extraction__params,param_feature_extraction__n_lags,param_classifier__base_estimator__n_estimators,param_classifier__base_estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
847.8431166648865,403.79497164076946,0.0,0.0,"('interpolate', ('spline', 2))",0.95,correlation,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,200,7,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 200, 'classifier__base_estimator__max_depth': 7}",,,,,,,,11,,,,,,,
842.8774693012238,400.57968062970065,0.0,0.0,"('interpolate', ('polynomial', 2))",0.9,correlation,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,50,3,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 3}",,,,,,,,11,,,,,,,
850.0472091197968,405.54915196294024,284.5142230987549,4.072358909941026,"('interpolate', ('polynomial', 2))",0.85,pca,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,100,11,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 11}",0.4855220734126984,0.4793953061054038,0.527629513343799,0.580097331767075,0.5765637990903312,0.5298416047438614,0.042947746844922315,4,0.9860767238680668,0.9715544425895011,0.9745809936497355,0.9633114155780205,0.9511404234450803,0.9693327998260808,0.011662399872697507
856.7543281555176,404.48739002235976,286.46012473106384,3.484718183136529,"('interpolate', ('spline', 2))",0.95,pca,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,50,9,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 9}",0.5053788442460317,0.48352125615969266,0.49960753532182106,0.5835654751915869,0.625055020296376,0.5394256262431016,0.05504667422200938,3,0.9786775377785366,0.9577777777777777,0.950564515439775,0.9399661095501549,0.9251168152016738,0.9504205511495837,0.017900732972712025
859.1171815395355,409.2692859444079,0.0,0.0,"('ffill', None)",0.95,correlation,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,50,5,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,11,,,,,,,
838.405502986908,396.8316291665954,280.11087465286255,6.433118525357089,"('ffill', None)",0.99,pca,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",5,500,9,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.99, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 500, 'classifier__base_estimator__max_depth': 9}",0.4712691046567881,0.5236973180076627,0.4575793059399617,0.48212618034658083,0.4772889993261456,0.4823921816554278,0.02223343949481393,8,0.9987836949375412,0.9359527872338601,0.9661970250783884,0.9515637157978499,0.9609664121576011,0.9626927270410481,0.020768714469895717
872.2876356124877,413.2942420708477,0.0,0.0,"('interpolate', ('polynomial', 2))",0.85,correlation,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,200,9,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 200, 'classifier__base_estimator__max_depth': 9}",,,,,,,,11,,,,,,,
874.4240005970001,412.73573960802076,0.0,0.0,"('interpolate', 'linear')",0.85,correlation,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,500,5,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 500, 'classifier__base_estimator__max_depth': 5}",,,,,,,,11,,,,,,,
871.104647731781,411.03787570705845,0.0,0.0,"('interpolate', ('polynomial', 2))",0.95,correlation,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,400,3,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 400, 'classifier__base_estimator__max_depth': 3}",,,,,,,,11,,,,,,,
870.5302603721618,405.3784828197636,288.3514079093933,3.046360259210539,"('interpolate', ('spline', 3))",0.95,pca,"('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}})",3,200,11,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('tsfresh', {'default_fc_parameters': {'sum_of_reoccurring_data_points': None, 'cwt_coefficients': [{'coeff': 3, 'w': 2, 'widths': (2.0, 5.0, 10.0, 20.0)}], 'energy_ratio_by_chunks': [{'num_segments': 10, 'segment_focus': 1}, {'num_segments': 10, 'segment_focus': 2}], 'sum_of_reoccurring_values': None, 'change_quantiles': [{'f_agg': 'var', 'isabs': False, 'qh': 0.8, 'ql': 0}, {'f_agg': 'mean', 'isabs': False, 'qh': 0.8, 'ql': 0.2}], 'sum_values': None, 'augmented_dickey_fuller': [{'attr': 'teststat', 'autolag': 'AIC'}], 'benford_correlation': None}}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 200, 'classifier__base_estimator__max_depth': 11}",0.5240420386904762,0.5635596759375261,0.5405572998430141,0.5554455445544555,0.5923020492003717,0.5551813216451688,0.022942240541080364,1,0.9971114715842795,0.986776108328696,0.9850550840576737,0.976915872510114,0.9708431777401443,0.9833403428441816,0.00896483980203842
