feature,importance
QProd,25
TPressThickSample1,18
TPressParameterCode_14.0,13
TPressParameterCode_26.0,8
TPressProdReportFCSrel,7
TPressProdReportFCPCVM,7
TPressProdReportThickSrel,6
TPressParameterCode_92.0,6
TPressParameterCode_19.0,5
TPressParameterCode_50.0,4
TPressParameterCode_46.0,4
TPressParameterCode_30.0,4
TPressProdReportHardSrel__symmetry_looking__r_0.9500000000000001,3
TPressParameterCode_101.0,3
TPressParameterCode_29.0,3
TPressParameterCode_27.0,3
TPressParameterCode_3.0,3
TPressWeightSample11,3
TPressParameterCode_6.0,3
TPressParameterCode_45.0,3
TPressHardSample1,2
TPressProdReportHardSrel__variance_larger_than_standard_deviation,2
TPressProdReportFCCPVM__symmetry_looking__r_0.9500000000000001,2
TPressSetupCode_26,2
TPressWeightSample18__symmetry_looking__r_0.9500000000000001,2
TPressParameterCode_13.0__symmetry_looking__r_0.9500000000000001,2
TPressProdReportFCCPVM,2
QProd__value_count__value_0,2
TPressParameterCode_1.0,1
TPressParameterCode_23.0,1
TPressSetupCode_8,1
TPressSetupCode_101,1
TPressParameterCode_15.0,1
TPressSetupCode_4,1
TPressParameterCode_18.0,1
TPressWeightSample18__variance_larger_than_standard_deviation,1
TPressSetupCode_48,1
TPressProdReportHardSrel,1
TPressParameterCode_8.0,1
TPressParameterCode_24.0__value_count__value_-1,0
TPressParameterCode_24.0__value_count__value_1,0
TPressParameterCode_24.0__value_count__value_0,0
TPressSetupCode_163,0
TPressParameterCode_24.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_24.0__time_reversal_asymmetry_statistic__lag_2,0
TPressSetupCode_121,0
TPressParameterCode_24.0__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_13.0__variance_larger_than_standard_deviation,0
TPressParameterCode_13.0__value_count__value_-1,0
TPressParameterCode_13.0__value_count__value_1,0
TPressParameterCode_13.0__value_count__value_0,0
TPressParameterCode_13.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_24.0__variance_larger_than_standard_deviation,0
TPressProdReportHardSrel__value_count__value_0,0
TPressProdReportHardSrel__time_reversal_asymmetry_statistic__lag_2,0
TPressProdReportHardSrel__time_reversal_asymmetry_statistic__lag_3,0
TPressProdReportHardSrel__value_count__value_1,0
TPressSetupCode_123,0
TPressProdReportHardSrel__value_count__value_-1,0
TPressSetupCode_124,0
TPressSetupCode_185,0
TPressSetupCode_125,0
TPressSetupCode_126,0
TPressSetupCode_174,0
TPressParameterCode_13.0__time_reversal_asymmetry_statistic__lag_2,0
TPressSetupCode_165,0
TPressSetupCode_128,0
TPressSetupCode_139,0
TPressSetupCode_164,0
TPressSetupCode_170,0
TPressParameterCode_29.0__value_count__value_1,0
TPressProdReportFCCPVM__variance_larger_than_standard_deviation,0
TPressProdReportFCCPVM__value_count__value_-1,0
TPressParameterCode_15.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_15.0__time_reversal_asymmetry_statistic__lag_2,0
TPressWeightSample18__value_count__value_-1,0
TPressWeightSample18__value_count__value_1,0
TPressWeightSample18__time_reversal_asymmetry_statistic__lag_3,0
TPressWeightSample18__time_reversal_asymmetry_statistic__lag_2,0
TPressParameterCode_45.0__variance_larger_than_standard_deviation,0
TPressParameterCode_45.0__value_count__value_-1,0
TPressParameterCode_45.0__value_count__value_1,0
TPressParameterCode_45.0__value_count__value_0,0
TPressParameterCode_45.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_45.0__time_reversal_asymmetry_statistic__lag_2,0
QProd__value_count__value_-1,0
QProd__value_count__value_1,0
QProd__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_15.0__value_count__value_0,0
TPressParameterCode_15.0__value_count__value_1,0
TPressParameterCode_15.0__value_count__value_-1,0
TPressParameterCode_27.0__value_count__value_1,0
TPressProdReportFCCPVM__value_count__value_1,0
TPressProdReportFCCPVM__value_count__value_0,0
TPressProdReportFCCPVM__time_reversal_asymmetry_statistic__lag_3,0
TPressProdReportFCCPVM__time_reversal_asymmetry_statistic__lag_2,0
TPressParameterCode_27.0__variance_larger_than_standard_deviation,0
TPressParameterCode_27.0__value_count__value_-1,0
TPressParameterCode_27.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_29.0__time_reversal_asymmetry_statistic__lag_2,0
TPressParameterCode_27.0__time_reversal_asymmetry_statistic__lag_2,0
TPressParameterCode_29.0__variance_larger_than_standard_deviation,0
TPressParameterCode_29.0__value_count__value_-1,0
TPressSetupCode_119,0
TPressParameterCode_29.0__value_count__value_0,0
TPressParameterCode_29.0__time_reversal_asymmetry_statistic__lag_3,0
TPressSetupCode_120,0
TPressSetupCode_64,0
TPressSetupCode_110,0
TPressParameterCode_53.0,0
TPressParameterCode_86.0,0
TPressParameterCode_100.0,0
