feature,importance
QProd,60
TPressThickSample1,42
TPressProdReportFCCPVM__time_reversal_asymmetry_statistic__lag_2,35
TPressProdReportHardSrel__time_reversal_asymmetry_statistic__lag_2,33
TPressWeightSample18__time_reversal_asymmetry_statistic__lag_2,31
TPressParameterCode_14.0,30
TPressProdReportFCSrel,27
TPressParameterCode_89.0,26
TPressProdReportHardSrel,26
TPressParameterCode_45.0__time_reversal_asymmetry_statistic__lag_2,22
TPressProdReportThickSrel,20
TPressSetupCode_92,20
TPressWeightSample11,20
TPressParameterCode_92.0,19
TPressWeightSample1,19
TPressParameterCode_24.0__time_reversal_asymmetry_statistic__lag_2,18
QProd__time_reversal_asymmetry_statistic__lag_2,18
TPressParameterCode_25.0,17
TPressProdReportFCCPVM,16
TPressHardSample9,16
TPressParameterCode_15.0,13
TPressParameterCode_15.0__time_reversal_asymmetry_statistic__lag_2,13
TPressProdReportFCPCVM,11
TPressParameterCode_30.0,11
TPressParameterCode_5.0,11
TPressParameterCode_13.0__time_reversal_asymmetry_statistic__lag_2,11
TPressParameterCode_19.0,10
TPressHardSample7,10
TPressParameterCode_27.0__time_reversal_asymmetry_statistic__lag_2,9
TPressParameterCode_18.0,9
TPressHardSample5,9
TPressParameterCode_24.0,9
TPressParameterCode_28.0,8
TPressParameterCode_50.0,8
TPressParameterCode_26.0,7
TPressParameterCode_8.0,7
TPressParameterCode_49.0,7
TPressProdReportHardSrel__variance_larger_than_standard_deviation,7
TPressParameterCode_29.0__time_reversal_asymmetry_statistic__lag_2,7
TPressParameterCode_23.0,7
TPressParameterCode_27.0,6
TPressParameterCode_29.0,6
TPressParameterCode_22.0,6
TPressHardSample6,6
TPressParameterCode_1.0,6
TPressHardSample3,5
TPressParameterCode_45.0,5
TPressWeightSample18__variance_larger_than_standard_deviation,5
TPressParameterCode_46.0,5
TPressParameterCode_13.0,5
TPressParameterCode_6.0,5
TPressSetupCode_26,4
TPressHardSample2,4
TPressHardSample10,4
TPressParameterCode_84.0,4
TPressSetupCode_32,3
TPressSetupCode_28,3
TPressParameterCode_24.0__value_count__value_1,3
TPressParameterCode_13.0__variance_larger_than_standard_deviation,3
TPressSetupCode_4,3
TPressSetupCode_3,3
TPressParameterCode_101.0,3
TPressSetupCode_18,3
TPressHardSample1,3
TPressHardSample8,3
TPressSetupCode_101,2
TPressSetupCode_13,2
TPressHardSample4,2
TPressSetupCode_79,1
TPressSetupCode_105,1
TPressParameterCode_3.0,1
TPressSetupCode_7,1
TPressSetupCode_11,1
TPressSetupCode_57,1
TPressSetupCode_47,1
QProd__value_count__value_0,1
TPressParameterCode_108.0,1
TPressSetupCode_6,1
TPressParameterCode_13.0__value_count__value_1,0
TPressParameterCode_24.0__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_12.0,0
TPressParameterCode_11.0,0
TPressParameterCode_13.0__value_count__value_-1,0
TPressParameterCode_86.0,0
TPressParameterCode_13.0__value_count__value_0,0
TPressParameterCode_13.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_10.0,0
TPressParameterCode_24.0__value_count__value_0,0
TPressParameterCode_13.0__symmetry_looking__r_0.9500000000000001,0
TPressProdReportFCCPVM__variance_larger_than_standard_deviation,0
TPressProdReportFCCPVM__value_count__value_-1,0
TPressProdReportFCCPVM__value_count__value_1,0
TPressParameterCode_24.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_17.0,0
TPressParameterCode_16.0,0
TPressSetupCode_185,0
TPressSetupCode_128,0
TPressSetupCode_139,0
TPressSetupCode_163,0
TPressSetupCode_164,0
TPressSetupCode_165,0
TPressSetupCode_170,0
TPressSetupCode_174,0
TPressParameterCode_20.0,0
TPressParameterCode_24.0__value_count__value_-1,0
TPressProdReportHardSrel__value_count__value_-1,0
TPressProdReportHardSrel__value_count__value_1,0
TPressProdReportHardSrel__value_count__value_0,0
TPressProdReportHardSrel__time_reversal_asymmetry_statistic__lag_3,0
TPressProdReportFCCPVM__time_reversal_asymmetry_statistic__lag_3,0
TPressProdReportHardSrel__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_24.0__variance_larger_than_standard_deviation,0
TPressProdReportFCCPVM__value_count__value_0,0
TPressParameterCode_27.0__value_count__value_-1,0
TPressParameterCode_4.0,0
TPressParameterCode_45.0__value_count__value_-1,0
Object,0
TPressWeightSample18__value_count__value_-1,0
TPressWeightSample18__value_count__value_1,0
TPressWeightSample18__value_count__value_0,0
TPressWeightSample18__time_reversal_asymmetry_statistic__lag_3,0
TPressWeightSample18__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_45.0__variance_larger_than_standard_deviation,0
TPressParameterCode_45.0__value_count__value_1,0
TPressProdReportFCCPVM__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_45.0__value_count__value_0,0
TPressParameterCode_45.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_45.0__symmetry_looking__r_0.9500000000000001,0
QProd__variance_larger_than_standard_deviation,0
QProd__value_count__value_-1,0
QProd__value_count__value_1,0
QProd__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_15.0__symmetry_looking__r_0.9500000000000001,0
TPressProdReportDiamVM,0
TPressParameterCode_15.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_15.0__value_count__value_0,0
TPressParameterCode_27.0__variance_larger_than_standard_deviation,0
TPressSetupCode_126,0
TPressParameterCode_27.0__value_count__value_1,0
TPressParameterCode_27.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_27.0__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_29.0__variance_larger_than_standard_deviation,0
TPressParameterCode_29.0__value_count__value_-1,0
TPressParameterCode_29.0__value_count__value_1,0
TPressParameterCode_29.0__value_count__value_0,0
TPressParameterCode_29.0__time_reversal_asymmetry_statistic__lag_3,0
TPressProdReportDiamSrel,0
TPressParameterCode_29.0__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_15.0__variance_larger_than_standard_deviation,0
TPressParameterCode_15.0__value_count__value_-1,0
TPressParameterCode_15.0__value_count__value_1,0
TPressSetupCode_127,0
TPressSetupCode_120,0
TPressSetupCode_125,0
TPressSetupCode_33,0
TPressParameterCode_39.0,0
TPressSetupCode_27,0
TPressParameterCode_34.0,0
TPressSetupCode_29,0
TPressSetupCode_30,0
TPressSetupCode_31,0
TPressParameterCode_33.0,0
TPressSetupCode_34,0
TPressSetupCode_24,0
TPressSetupCode_36,0
TPressSetupCode_38,0
TPressSetupCode_40,0
TPressSetupCode_41,0
TPressSetupCode_42,0
TPressSetupCode_43,0
TPressSetupCode_44,0
TPressSetupCode_25,0
TPressSetupCode_23,0
TPressSetupCode_124,0
TPressSetupCode_9,0
TPressParameterCode_64.0,0
TPressParameterCode_117.0,0
TPressParameterCode_174.0,0
TPressSetupCode_1,0
TPressParameterCode_53.0,0
TPressParameterCode_52.0,0
TPressSetupCode_8,0
TPressSetupCode_10,0
TPressSetupCode_22,0
TPressSetupCode_12,0
TPressSetupCode_14,0
TPressSetupCode_16,0
TPressSetupCode_17,0
TPressParameterCode_40.0,0
TPressSetupCode_20,0
TPressSetupCode_21,0
TPressSetupCode_45,0
TPressSetupCode_46,0
TPressSetupCode_48,0
TPressSetupCode_111,0
TPressSetupCode_102,0
TPressSetupCode_103,0
TPressSetupCode_104,0
TPressSetupCode_107,0
TPressSetupCode_108,0
TPressSetupCode_109,0
TPressSetupCode_110,0
TPressSetupCode_112,0
TPressSetupCode_49,0
TPressSetupCode_114,0
TPressSetupCode_117,0
TPressSetupCode_119,0
TPressParameterCode_100.0,0
TPressSetupCode_121,0
TPressSetupCode_122,0
TPressSetupCode_123,0
TPressSetupCode_100,0
TPressParameterCode_21.0,0
TPressSetupCode_85,0
TPressSetupCode_83,0
TPressSetupCode_50,0
TPressSetupCode_51,0
TPressSetupCode_52,0
TPressParameterCode_32.0,0
TPressSetupCode_54,0
TPressSetupCode_58,0
TPressSetupCode_59,0
TPressSetupCode_60,0
TPressSetupCode_61,0
TPressSetupCode_62,0
TPressSetupCode_64,0
TPressSetupCode_68,0
TPressSetupCode_69,0
TPressSetupCode_74,0
TPressSetupCode_81,0
TPressSetupCode_53,0
