mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_imputation__params,param_feature_selection__threshold,param_feature_selection__strategy,param_feature_extraction__n_lags,param_classifier__base_estimator__n_estimators,param_classifier__base_estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
483.2628465175629,218.219774101714,112.70099749565125,14.64697942311851,"('ffill', None)",0.95,correlation,3,100,5,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",0.5441468253968254,0.6341768980205462,0.637087912087912,0.5696425574760866,0.6344940578079914,0.6039096501578723,0.03923808918250027,3,0.9790048094709581,0.9725338527174922,0.9726759142927959,0.9670084677847618,0.9589548390940779,0.9700355766720172,0.006717232115077588
483.17335963249207,217.61718930106946,112.6426441192627,14.753207760399325,"('interpolate', ('polynomial', 2))",0.99,correlation,3,50,7,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.99, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 7}",0.5512540302579366,0.6453353378434812,0.595392464678179,0.5850198579179953,0.66779478652125,0.6089592954437684,0.04212335377729041,1,0.9775676598651072,0.9707493971433871,0.9716691025016453,0.9666454247892708,0.9591206949100884,0.9691504558418996,0.006109350256360695
514.2046517372131,232.500228301068,128.5486330986023,17.25952498449461,"('interpolate', 'linear')",0.99,correlation,5,200,11,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.99, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 200, 'classifier__base_estimator__max_depth': 11}",0.5032699647022988,0.6534386973180077,0.6573167269888581,0.5499117982774722,0.6428729363207547,0.6013620247214784,0.06298450977233372,6,0.9786242603550296,0.9763657488788469,0.9790216259519297,0.9775141459629726,0.9757339789301164,0.9774519520157791,0.0012628000612066065
462.5955990314484,207.1245100205026,110.00320782661439,15.357213968129146,"('interpolate', 'linear')",0.9,correlation,2,200,7,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 2, 'classifier__base_estimator__n_estimators': 200, 'classifier__base_estimator__max_depth': 7}",0.5241974726101125,0.5909410561309296,0.6540182161079516,0.5485365595942518,0.5904769964175905,0.5816340601721672,0.044268927841165706,12,0.980839991589571,0.9778188892942137,0.979397820897014,0.9777145508497045,0.9754318501049689,0.9782406205470945,0.0018132644836893548
442.85427794456484,206.05045431219898,130.47548055648804,16.500751799848366,"('interpolate', ('polynomial', 2))",0.95,pca,5,500,9,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 500, 'classifier__base_estimator__max_depth': 9}",0.5042554335166902,0.5124137931034483,0.4950145482932369,0.4465536474006434,0.5482911472371967,0.501305713910243,0.03279356267907777,16,0.9587524654832347,0.937146826043337,0.9322710300424961,0.9180768544051422,0.9008123803295223,0.9294119112607465,0.01936640530604837
406.24997787475587,191.8842090411055,116.87366604804993,15.897404799555556,"('ffill', None)",0.9,pca,3,400,5,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 400, 'classifier__base_estimator__max_depth': 5}",0.53515625,0.4254238703750105,0.4401726844583987,0.43771326285170886,0.6252897735609135,0.4927511682492064,0.07706011404557975,17,0.9428199436523521,0.8962622890001855,0.9033563241968154,0.8778910677905551,0.8596324130961357,0.8959924075472088,0.027917112814785816
520.6814208507537,237.30738644097707,129.68555936813354,19.369316858144042,"('interpolate', ('spline', 3))",0.9,correlation,5,100,5,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",0.4802906237121714,0.5982567049808429,0.6436732666240863,0.5890967105945834,0.6580504548517518,0.5938735521526871,0.06251687496762393,8,0.9786242603550296,0.9722627142624399,0.9693187834983771,0.9636437179139582,0.958801837508175,0.9685302627075959,0.006855105032515592
477.42768297195437,211.30629645573626,114.03194932937622,15.499907307653903,"('interpolate', ('polynomial', 2))",0.95,correlation,3,300,5,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 300, 'classifier__base_estimator__max_depth': 5}",0.526398189484127,0.6337425874885159,0.6486891679748822,0.56168260893886,0.6046217048955836,0.5950268517563937,0.04537035463015622,7,0.9800150829562594,0.9779614171767761,0.9796167619633684,0.9768729059853817,0.9746426795425015,0.9778217695248573,0.0019523871676400976
513.3247338294983,228.1704371049893,128.91744537353514,18.086875369172525,"('interpolate', 'linear')",0.99,correlation,5,200,3,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.99, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 200, 'classifier__base_estimator__max_depth': 3}",0.5483954775940227,0.5968390804597701,0.6654158682847209,0.594531493203279,0.633228394541779,0.6076820628167143,0.039474584971454625,2,0.9773093359631821,0.9693172756193138,0.9673583349571989,0.9583710816178528,0.9467366238282471,0.9638185303971589,0.01045212399844062
377.9711796760559,178.45106352022935,109.20042262077331,12.82154851932501,"('interpolate', ('polynomial', 3))",0.99,pca,2,50,11,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.99, 'feature_selection__strategy': 'pca', 'feature_extraction__n_lags': 2, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 11}",0.4675671291858974,0.4412399309551208,0.4464627710121197,0.4570583262890955,0.6146324034112813,0.485392112170703,0.06525104601441709,19,0.9436764087468461,0.9059808570882624,0.8929929539435186,0.8719055427830502,0.856600790556475,0.8942313106236304,0.02999632993551786
457.58980708122255,204.07782933665902,110.02596292495727,14.195986046828462,"('ffill', None)",0.85,correlation,2,50,11,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 2, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 11}",0.5119955173481575,0.505593913821762,0.6073522316925191,0.604997886728656,0.650870215226651,0.5761619529635491,0.057415761984963454,13,0.9798412531539109,0.9757413101255928,0.9764543070249393,0.9722888087429313,0.9651485745602206,0.9738948507215189,0.004987918369713942
383.70925602912905,176.8121530655167,110.35068097114564,14.428650452733095,"('interpolate', ('spline', 2))",0.95,pca,2,500,5,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__n_lags': 2, 'classifier__base_estimator__n_estimators': 500, 'classifier__base_estimator__max_depth': 5}",0.4337260568883908,0.43726825214166987,0.42780076314673765,0.4654480135249366,0.6527883557586528,0.4834062882920776,0.0856756705380154,20,0.9583355235492009,0.9288463876873904,0.9197134829377751,0.9003540284239697,0.8850087168344944,0.9184516278865662,0.025085134437193596
518.7873825073242,238.33075798950406,131.11796622276307,15.60536323405192,"('interpolate', ('spline', 2))",0.85,correlation,5,300,5,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 300, 'classifier__base_estimator__max_depth': 5}",0.49223271398111484,0.5917911877394637,0.6562610886381378,0.5944601535747639,0.6824829430592991,0.6034456173985558,0.06575902527745672,4,0.9786242603550296,0.9762156901415697,0.9789960377681592,0.9770490430121037,0.9739111792253364,0.9769592421004397,0.0018315263246820404
389.762895822525,180.1083390755103,111.92356433868409,15.658536862874232,"('interpolate', ('polynomial', 2))",0.85,pca,2,500,5,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__n_lags': 2, 'classifier__base_estimator__n_estimators': 500, 'classifier__base_estimator__max_depth': 5}",0.5325287169883657,0.4905462856412224,0.45738366398152075,0.40366652578191037,0.5692693200944026,0.49067890249748436,0.05763263816230801,18,0.9393397813288478,0.9049976549064569,0.8881714588770477,0.8708513570938252,0.856700850754416,0.8920122205921187,0.028698243653510057
462.51228723526003,203.8714657374477,112.4271146774292,14.241999437886047,"('interpolate', ('polynomial', 3))",0.85,correlation,2,300,11,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 2, 'classifier__base_estimator__n_estimators': 300, 'classifier__base_estimator__max_depth': 11}",0.5125484760458292,0.5567382687635853,0.6465329454247746,0.5840659340659341,0.652468665669986,0.5904708579940219,0.05336196030678252,10,0.980839991589571,0.9778188892942137,0.9796235010405466,0.9782257537291479,0.9765284667217583,0.9786073204750474,0.0014903887468293545
391.6643472671509,182.81155575131578,112.71723127365112,14.609962700530447,"('interpolate', ('polynomial', 2))",0.85,pca,2,200,11,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__n_lags': 2, 'classifier__base_estimator__n_estimators': 200, 'classifier__base_estimator__max_depth': 11}",0.5534674196735332,0.4522199846566935,0.4624201400564319,0.4807692307692308,0.5634866905493968,0.5024726931410572,0.04674131365591544,15,0.9393792052144659,0.9040509319575452,0.8888210952902167,0.8713934319055971,0.8586346287038454,0.8924558586143341,0.02806050283915791
490.4472877025604,221.33246715828744,116.93112816810608,18.73452035171495,"('interpolate', ('spline', 3))",0.85,correlation,3,300,7,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 300, 'classifier__base_estimator__max_depth': 7}",0.5378999255952381,0.5051365572538211,0.6308712715855573,0.6083515131174135,0.6456888541106275,0.5855896243325315,0.05463964119016239,11,0.9800150829562594,0.9779614171767761,0.9799928206969052,0.978097210555282,0.9765029000419366,0.9785138862854319,0.0013389357631780176
489.3735327720642,218.77772325506112,115.5049054145813,16.912973610904867,"('interpolate', ('polynomial', 3))",0.9,correlation,3,400,3,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 400, 'classifier__base_estimator__max_depth': 3}",0.5234219990079365,0.6179403658231021,0.6332182103610675,0.6015550707613134,0.6384163936029735,0.6029104079112787,0.04177411072154726,5,0.9799154785281311,0.9754683732146169,0.9753143081801321,0.9711477372572874,0.9627171021121838,0.9729125998584702,0.005803505910532125
504.00633215904236,216.07549681337176,113.74606351852417,36.88131983576733,"('interpolate', ('spline', 2))",0.9,correlation,5,100,3,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 3}",0.5151045492823996,0.5832088122605364,0.6401426442410049,0.5796279962643976,0.6501747809973046,0.5936517566091286,0.04864491677141299,9,0.9673816568047338,0.9434985980226547,0.933306367324283,0.9166787902033007,0.9017910845658244,0.9325312993841592,0.02250196718727554
390.2376145362854,136.79907761743513,73.62644600868225,36.74890163540697,"('interpolate', ('polynomial', 2))",0.9,correlation,2,100,7,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__n_lags': 2, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 7}",0.5326761726410782,0.5658883135148958,0.6405535006798146,0.555933009298394,0.573697968087407,0.5737497928443179,0.03613591281853844,14,0.980839991589571,0.9766446054162976,0.9777406838430749,0.9753342340673589,0.9694641088654953,0.9760047247563597,0.003742513074230472
